Hostname,Graphana Host String,,,CPU,MEMORY,LATENCY,RX/TX
N5kC5596Up.ac27-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac27-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac28-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac28-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac29-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac29-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N5kC5596Up.ac29-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac29-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac3-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac3-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac30-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac30-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac30-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac30-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac31-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac31-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac32-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac32-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac4-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac4-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N5kC5596Up.ac5-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac5-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N5kC5596Up.ac6-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac6-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac7-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac7-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,16,,,,
N5kC5596Up.ac8-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac8-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
